Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 91.50    124.88   124.88 27976458     0.00     0.00  gaussian_kernel(float*, float*, unsigned long, float)
  5.92    132.96     8.08     1800     0.00     0.08  SPGK(spgk_input_t*, spgk_input_t*, float)
  1.40    134.87     1.91     3600     0.00     0.00  spgk_input_t::floyd_warshall()
  0.94    136.15     1.28 647231543     0.00     0.00  std::numeric_limits<float>::infinity()
  0.14    136.34     0.19                             std::setw(int)
  0.02    136.37     0.03                             frame_dummy
  0.01    136.39     0.02      164     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.01    136.40     0.01   569968     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >::_M_valptr() const
  0.01    136.41     0.01   569968     0.00     0.00  std::pair<std::string const, jsonxx::Value*> const* std::__addressof<std::pair<std::string const, jsonxx::Value*> const>(std::pair<std::string const, jsonxx::Value*> const&)
  0.01    136.42     0.01   334657     0.00     0.00  jsonxx::match(char const*, std::istream&)
  0.01    136.43     0.01   280740     0.00     0.00  std::_Iter_base<jsonxx::Value**, false>::_S_base(jsonxx::Value**)
  0.01    136.44     0.01   108622     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::operator*() const
  0.01    136.45     0.01   108275     0.00     0.00  std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> >::end()
  0.01    136.46     0.01    93864     0.00     0.00  jsonxx::parse_string(std::istream&, std::string&)
  0.01    136.47     0.01    89416     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, jsonxx::Value*> >::destroy(std::pair<std::string const, jsonxx::Value*>*)
  0.01    136.48     0.01    32052     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::begin() const
  0.01    136.49     0.01    26812     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::find(std::string const&) const
  0.01    136.50     0.01      770     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long>, std::_Select1st<std::pair<std::string const, unsigned long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long> > >::_M_get_insert_unique_pos(std::string const&)
  0.00    136.50     0.00  1009280     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*)
  0.00    136.50     0.00   670496     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00    136.50     0.00   670496     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00    136.50     0.00   585488     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_end()
  0.00    136.50     0.00   503840     0.00     0.00  std::_Select1st<std::pair<std::string const, jsonxx::Value*> >::operator()(std::pair<std::string const, jsonxx::Value*> const&) const
  0.00    136.50     0.00   461116     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::end()
  0.00    136.50     0.00   403682     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >::_M_valptr()
  0.00    136.50     0.00   403682     0.00     0.00  std::pair<std::string const, jsonxx::Value*>* std::__addressof<std::pair<std::string const, jsonxx::Value*> >(std::pair<std::string const, jsonxx::Value*>&)
  0.00    136.50     0.00   369332     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_begin()
  0.00    136.50     0.00   331168     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::end()
  0.00    136.50     0.00   279272     0.00     0.00  jsonxx::Value::reset()
  0.00    136.50     0.00   272698     0.00     0.00  __gnu_cxx::__normal_iterator<jsonxx::Value**, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > >::base() const
  0.00    136.50     0.00   260605     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > const*)
  0.00    136.50     0.00   260605     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > const*)
  0.00    136.50     0.00   241752     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::operator!=(std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> > const&) const
  0.00    136.50     0.00   232781     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_right(std::_Rb_tree_node_base*)
  0.00    136.50     0.00   218180     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> > const&) const
